web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
"1613083950-2948","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company","https://www.goodreads.com/book/show/18606951-the-intel-trinity","The Intel Trinity: How Robert Noyce, Gordon Moore, and Andy Grove Built the World's Most Important Company","Michael S. Malone","null","Computer Science","null","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397422937l/18606951.jpg","null"
"1613084338-3446","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Second Coming of Steve Jobs","https://www.goodreads.com/book/show/56545.The_Second_Coming_of_Steve_Jobs","The Second Coming of Steve Jobs","Alan Deutschman","null","Nonfiction","0767904338
                      (ISBN13: 9780767904339)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388365742l/56545.jpg","(first published 2000)"
"1613083613-2560","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Fatal System Error: The Hunt for the New Crime Lords Who are Bringing Down the Internet","https://www.goodreads.com/book/show/7638558-fatal-system-error","Fatal System Error: The Hunt for the New Crime Lords Who are Bringing Down the Internet","Joseph Menn","null","Technology","English","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442101084l/7638558._SY475_.jpg","(first published 2010)"
"1613083748-2713","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Are You Smart Enough to Work at Google?","https://www.goodreads.com/book/show/11786911-are-you-smart-enough-to-work-at-google","Are You Smart Enough to Work at Google?","William Poundstone","null","Puzzles","031609997X
                      (ISBN13: 9780316099974)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344271594l/11786911.jpg","(first published 2012)"
"1613083975-2979","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Groundswell: Winning in a World Transformed by Social Technologies","https://www.goodreads.com/book/show/2896061-groundswell","Groundswell: Winning in a World Transformed by Social Technologies","Charlene Li","null","Business","1422125009
                      (ISBN13: 9781422125007)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442815608l/2896061._SY475_.jpg","(first published January 1st 2008)"
"1613084268-3330","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Hacker Crackdown: Law and Disorder on the Electronic Frontier","https://www.goodreads.com/book/show/61182.The_Hacker_Crackdown","The Hacker Crackdown: Law and Disorder on the Electronic Frontier","Bruce Sterling","null","History","055356370X
                      (ISBN13: 9780553563702)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446384046l/61182._SY475_.jpg","(first published November 1st 1992)"
"1613083698-2658","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Inside Intel: Andy Grove and the Rise of the World's Most Powerful Chip Company","https://www.goodreads.com/book/show/493181.Inside_Intel","Inside Intel: Andy Grove and the Rise of the World's Most Powerful Chip Company","Tim Jackson","null","Leadership","0452276438
                      (ISBN13: 9780452276437)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387738557l/493181.jpg","(first published April 1997)"
"1613083652-2604","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Convergence Culture: Where Old and New Media Collide","https://www.goodreads.com/book/show/38860.Convergence_Culture","Convergence Culture: Where Old and New Media Collide","Henry Jenkins","null","Cultural","0814742815
                      (ISBN13: 9780814742815)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417984230l/38860.jpg","(first published 2006)"
"1613083891-2857","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","On the Edge: The Spectacular Rise and Fall of Commodore","https://www.goodreads.com/book/show/412006.On_the_Edge","On the Edge: The Spectacular Rise and Fall of Commodore","Brian  Bagnall","null","History","0973864907
                      (ISBN13: 9780973864908)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328861455l/412006.jpg","(first published September 14th 2005)"
"1613084118-3172","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader","https://www.goodreads.com/book/show/23395719-becoming-steve-jobs","Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader","Brent Schlender","null","Leadership","0771079141
                      (ISBN13: 9780771079146)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421713283l/23395719.jpg","null"
"1613083718-2681","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Everything Store: Jeff Bezos and the Age of Amazon","https://www.goodreads.com/book/show/17660462-the-everything-store","The Everything Store: Jeff Bezos and the Age of Amazon","Brad Stone","null","Business","0316219266
                      (ISBN13: 9780316219266)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365394361l/17660462.jpg","null"
"1613084232-3274","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything","https://www.goodreads.com/book/show/56825.Insanely_Great","Insanely Great: The Life and Times of Macintosh, the Computer that Changed Everything","Steven Levy","null","Technology","0140291776
                      (ISBN13: 9780140291773)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924623l/56825.jpg","(first published July 5th 1993)"
"1613083882-2852","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Nightwork: A History of Hacks and Pranks at MIT","https://www.goodreads.com/book/show/12173.Nightwork","Nightwork: A History of Hacks and Pranks at MIT","T.F. Peterson","null","Technology","0262661373
                      (ISBN13: 9780262661379)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347525378l/12173.jpg","null"
"1613084023-3057","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Inside Steve's Brain","https://www.goodreads.com/book/show/2363692.Inside_Steve_s_Brain","Inside Steve's Brain","Leander Kahney","null","Technology","1591841984
                      (ISBN13: 9781591841982)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440892053l/2363692._SX318_.jpg","(first published January 1st 2008)"
"1613083565-2514","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon","https://www.goodreads.com/book/show/18465875-countdown-to-zero-day","Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon","Kim Zetter","null","Nonfiction","","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404960332l/18465875.jpg","(first published June 3rd 2014)"
"1613084036-3071","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal","https://www.goodreads.com/book/show/6326920-the-accidental-billionaires","The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal","Ben Mezrich","null","Technology","0385529376
                      (ISBN13: 9780385529372)","Harvard University, Cambridge, Massachusetts","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320527444l/6326920.jpg","(first published January 1st 2009)"
"1613083550-2510","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","@War: The Rise of the Military-Internet Complex","https://www.goodreads.com/book/show/20448184-war","@War: The Rise of the Military-Internet Complex","Shane Harris","null","Internet","0544251792
                      (ISBN13: 9780544251793)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391614131l/20448184.jpg","(first published November 6th 2014)"
"1613083838-2798","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Perfect Store: Inside eBay","https://www.goodreads.com/book/show/324739.The_Perfect_Store","The Perfect Store: Inside eBay","Adam Cohen","null","Economics","0316164933
                      (ISBN13: 9780316164931)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344267788l/324739.jpg","(first published May 25th 2003)"
